Date,Store_ID,Product_ID,Category,Region,Inventory_Level,Units_Sold,Units_Ordered,Price,Revenue,Discount,Weather,Promotion,Competitor_Pricing,Seasonality,Epidemic,Demand
1/1/2022,S002,P0007,Toys,South,233,89,226,25.47,2266.83,10,Cloudy,No,30.08,Winter,No,93
1/1/2022,S002,P0008,Groceries,South,124,124,99,25.63,3178.12,5,Cloudy,No,29.79,Winter,No,112
1/1/2022,S002,P0009,Groceries,South,131,131,260,64.84,8494.04,10,Cloudy,No,68.68,Winter,No,145
1/1/2022,S002,P0010,Groceries,South,242,118,194,117.17,13826.06,5,Cloudy,No,106.37,Winter,No,195
1/1/2022,S002,P0011,Groceries,South,206,49,191,84.71,4150.79,10,Cloudy,No,76.07,Winter,No,79
1/1/2022,S002,P0012,Electronics,South,197,78,413,78.86,6151.08,0,Cloudy,No,69.84,Winter,No,122
1/1/2022,S002,P0013,Groceries,South,152,93,331,21.76,2023.68,10,Cloudy,No,21.12,Winter,No,109
1/1/2022,S002,P0014,Electronics,South,153,69,289,100.18,6912.42,10,Cloudy,Yes,108.96,Winter,No,63
1/1/2022,S002,P0015,Clothing,South,106,70,457,65.19,4563.3,10,Cloudy,No,64.23,Winter,No,96
1/1/2022,S002,P0016,Clothing,South,113,113,323,111.87,12641.31,5,Cloudy,No,118.76,Winter,No,194
1/1/2022,S002,P0017,Toys,South,153,72,196,18.89,1360.08,5,Cloudy,No,18.27,Winter,No,65
1/1/2022,S002,P0018,Clothing,South,126,69,86,27.67,1909.23,0,Cloudy,No,26.08,Winter,No,79
1/1/2022,S002,P0019,Clothing,South,164,82,391,83.09,6813.38,10,Cloudy,No,74.12,Winter,No,96
1/1/2022,S002,P0020,Furniture,South,126,43,132,125.8,5409.4,0,Cloudy,No,110.88,Winter,No,53
1/1/2022,S003,P0001,Toys,East,182,109,193,16.85,1836.65,10,Sunny,No,15.48,Winter,No,112
1/1/2022,S003,P0002,Groceries,East,290,56,236,50.42,2823.52,10,Sunny,Yes,45.94,Winter,No,82
1/1/2022,S003,P0003,Electronics,East,122,122,127,83.17,10146.74,20,Sunny,Yes,72.09,Winter,No,126
1/1/2022,S003,P0004,Groceries,East,203,122,518,26.29,3207.38,5,Sunny,No,30.05,Winter,No,158
1/1/2022,S003,P0005,Toys,East,253,40,212,19.8,792,5,Sunny,No,17.3,Winter,No,57
1/1/2022,S003,P0006,Toys,East,227,106,0,44.64,4731.84,0,Sunny,No,50.46,Winter,No,136
1/1/2022,S003,P0007,Groceries,East,247,123,552,18.65,2293.95,0,Sunny,No,21.62,Winter,No,142
1/1/2022,S003,P0008,Clothing,East,297,61,0,113.01,6893.61,0,Sunny,No,126.44,Winter,No,89
1/1/2022,S003,P0009,Groceries,East,226,96,0,56.32,5406.72,5,Sunny,No,66.33,Winter,No,126
1/1/2022,S003,P0010,Groceries,East,167,70,127,36.21,2534.7,10,Sunny,No,39.87,Winter,No,106
1/1/2022,S003,P0011,Electronics,East,159,157,293,131.16,20592.12,10,Sunny,No,139.75,Winter,No,149
1/1/2022,S003,P0012,Furniture,East,126,58,131,105.94,6144.52,0,Sunny,No,103.35,Winter,No,80
1/1/2022,S003,P0013,Groceries,East,105,105,743,86.78,9111.9,10,Sunny,No,78.8,Winter,No,176
1/1/2022,S003,P0014,Groceries,East,271,27,0,61.69,1665.63,25,Sunny,Yes,53.36,Winter,No,44
1/1/2022,S003,P0015,Groceries,East,166,131,500,98.46,12898.26,10,Sunny,No,104.52,Winter,No,133
1/1/2022,S003,P0016,Electronics,East,292,80,0,94.11,7528.8,10,Sunny,No,107.33,Winter,No,108
1/1/2022,S003,P0017,Furniture,East,204,53,380,112.23,5948.19,10,Sunny,No,133.9,Winter,No,82
1/1/2022,S003,P0018,Furniture,East,289,56,316,134.95,7557.2,5,Sunny,No,125.53,Winter,No,75
1/1/2022,S003,P0019,Groceries,East,201,109,0,59.71,6508.39,0,Sunny,No,70.74,Winter,No,123
1/1/2022,S003,P0020,Clothing,East,250,41,270,65.81,2698.21,5,Sunny,No,57.66,Winter,No,61
1/1/2022,S004,P0001,Groceries,West,215,85,287,10.47,889.95,0,Snowy,No,11.51,Winter,No,81
1/1/2022,S004,P0002,Groceries,West,283,67,0,19.12,1281.04,10,Snowy,Yes,20.62,Winter,No,112
1/1/2022,S004,P0003,Furniture,West,161,92,407,134.16,12342.72,20,Snowy,Yes,117.74,Winter,No,114
1/1/2022,S004,P0004,Groceries,West,168,88,252,51.64,4544.32,0,Snowy,No,57.32,Winter,No,86
1/1/2022,S004,P0005,Clothing,West,289,197,0,89.23,17578.31,10,Snowy,No,77.73,Winter,No,183
1/1/2022,S004,P0006,Groceries,West,206,48,162,35.33,1695.84,0,Snowy,No,34.77,Winter,No,73
1/1/2022,S004,P0007,Groceries,West,185,43,253,24.34,1046.62,5,Snowy,No,26.46,Winter,No,65
1/1/2022,S004,P0008,Furniture,West,281,59,0,100.64,5937.76,0,Snowy,No,118.02,Winter,No,80
1/1/2022,S004,P0009,Clothing,West,206,106,299,110.47,11709.82,5,Snowy,No,122.04,Winter,No,98
1/1/2022,S004,P0010,Groceries,West,223,120,597,30.02,3602.4,0,Snowy,No,29.15,Winter,No,128
1/1/2022,S004,P0011,Clothing,West,195,60,293,52.89,3173.4,0,Snowy,No,62.29,Winter,No,61
1/1/2022,S004,P0012,Electronics,West,111,111,113,118.15,13114.65,0,Snowy,No,133.46,Winter,No,103
1/1/2022,S004,P0013,Groceries,West,136,104,385,20.24,2104.96,10,Snowy,No,18.9,Winter,No,110
1/1/2022,S004,P0014,Furniture,West,110,52,122,148.46,7719.92,10,Snowy,Yes,178.25,Winter,No,70
1/1/2022,S004,P0015,Furniture,West,249,42,0,86.47,3631.74,5,Snowy,No,81.87,Winter,No,44
1/1/2022,S004,P0016,Furniture,West,155,74,218,110.39,8168.86,10,Snowy,No,101.16,Winter,No,71
1/1/2022,S004,P0017,Clothing,West,232,65,0,84.83,5513.95,10,Snowy,No,94.7,Winter,No,85
1/1/2022,S004,P0018,Furniture,West,165,64,0,141.31,9043.84,10,Snowy,No,150.73,Winter,No,67
1/1/2022,S004,P0019,Clothing,West,146,125,103,56.86,7107.5,10,Snowy,No,64.61,Winter,No,111
1/1/2022,S004,P0020,Furniture,West,290,52,0,124.97,6498.44,10,Snowy,No,110.39,Winter,No,76
1/1/2022,S005,P0001,Groceries,North,182,75,198,11.46,859.5,5,Snowy,No,9.92,Winter,No,84
1/1/2022,S005,P0002,Electronics,North,131,131,474,48.68,6377.08,10,Snowy,Yes,51.85,Winter,No,186
1/1/2022,S005,P0003,Toys,North,247,145,0,29.57,4287.65,20,Snowy,Yes,26.3,Winter,No,143
1/1/2022,S005,P0004,Groceries,North,195,143,114,7.45,1065.35,10,Snowy,No,8.33,Winter,No,121
1/1/2022,S005,P0005,Groceries,North,187,126,344,20.02,2522.52,0,Snowy,No,18.12,Winter,No,148
1/1/2022,S005,P0006,Groceries,North,280,59,300,53.49,3155.91,5,Snowy,No,52.34,Winter,No,67
1/1/2022,S005,P0007,Groceries,North,297,74,0,82.73,6122.02,0,Snowy,No,79.8,Winter,No,85
1/1/2022,S005,P0008,Groceries,North,229,165,0,73.42,12114.3,0,Snowy,No,84.61,Winter,No,149
1/1/2022,S005,P0009,Groceries,North,270,59,268,94.75,5590.25,0,Snowy,No,112.34,Winter,No,94
1/1/2022,S005,P0010,Groceries,North,132,132,436,70.86,9353.52,0,Snowy,No,63.54,Winter,No,136
1/1/2022,S005,P0011,Electronics,North,220,17,0,62.12,1056.04,0,Snowy,No,55.78,Winter,No,15
1/1/2022,S005,P0012,Furniture,North,230,71,371,133.86,9504.06,5,Snowy,No,118.2,Winter,No,84
1/1/2022,S005,P0013,Groceries,North,145,82,328,71.03,5824.46,10,Snowy,No,78.02,Winter,No,116
1/1/2022,S005,P0014,Furniture,North,193,63,219,161.18,10154.34,10,Snowy,Yes,156.66,Winter,No,82
1/1/2022,S005,P0015,Groceries,North,132,108,203,44.36,4790.88,10,Snowy,No,52.84,Winter,No,93
1/1/2022,S005,P0016,Toys,North,131,59,191,32.84,1937.56,0,Snowy,No,39.5,Winter,No,76
1/1/2022,S005,P0017,Toys,North,159,89,73,33.04,2940.56,10,Snowy,No,37.53,Winter,No,88
1/1/2022,S005,P0018,Clothing,North,245,68,0,22.41,1523.88,0,Snowy,No,22.24,Winter,No,88
1/1/2022,S005,P0019,Furniture,North,202,42,0,119.15,5004.3,10,Snowy,No,102.4,Winter,No,47
1/1/2022,S005,P0020,Toys,North,131,79,105,28.66,2264.14,10,Snowy,No,34.32,Winter,No,104
1/2/2022,S001,P0001,Electronics,North,93,71,0,65.63,4659.73,5,Snowy,No,73.66,Winter,No,84
1/2/2022,S001,P0002,Clothing,North,249,116,0,74.44,8635.04,10,Snowy,No,87.66,Winter,No,175
1/2/2022,S001,P0003,Clothing,North,133,130,0,66.15,8599.5,0,Snowy,No,74.15,Winter,No,156
1/2/2022,S001,P0004,Electronics,North,94,82,183,91.64,7514.48,10,Snowy,No,105.17,Winter,No,78
1/2/2022,S001,P0005,Groceries,North,87,87,487,63.35,5511.45,0,Snowy,No,61.2,Winter,No,103
1/2/2022,S001,P0006,Toys,North,149,77,172,36.93,2843.61,5,Snowy,No,32.24,Winter,No,65
1/2/2022,S001,P0007,Groceries,North,37,37,497,27.22,1007.14,0,Snowy,No,31.11,Winter,No,127
1/2/2022,S001,P0008,Electronics,North,202,37,0,37.38,1383.06,5,Snowy,No,42.34,Winter,No,58
1/2/2022,S001,P0009,Clothing,North,166,133,107,93.21,12396.93,10,Snowy,No,83.66,Winter,No,126
1/2/2022,S001,P0010,Furniture,North,122,105,498,129.03,13548.15,10,Snowy,Yes,139.76,Winter,No,107
1/2/2022,S001,P0011,Furniture,North,164,152,264,175.19,26628.88,10,Snowy,Yes,187.65,Winter,No,130
1/2/2022,S001,P0012,Groceries,North,168,168,397,96.27,16173.36,10,Snowy,Yes,109.41,Winter,No,187
1/2/2022,S001,P0013,Toys,North,166,73,90,32.72,2388.56,10,Snowy,No,28.94,Winter,No,107
1/2/2022,S001,P0014,Groceries,North,131,81,0,70.94,5746.14,0,Snowy,No,66.18,Winter,No,75
1/2/2022,S001,P0015,Toys,North,138,117,109,15.17,1774.89,10,Snowy,Yes,16.81,Winter,No,110
1/2/2022,S001,P0016,Groceries,North,25,25,0,35.58,889.5,0,Snowy,No,30.98,Winter,No,59
1/2/2022,S001,P0017,Toys,North,69,33,50,17.76,586.08,10,Snowy,No,16.08,Winter,No,42
1/2/2022,S001,P0018,Groceries,North,203,172,155,66.33,11408.76,10,Snowy,No,56.8,Winter,No,144
1/2/2022,S001,P0019,Furniture,North,220,35,0,93.29,3265.15,10,Snowy,No,99.51,Winter,No,52
1/2/2022,S001,P0020,Furniture,North,230,93,432,119.87,11147.91,10,Snowy,No,111.8,Winter,No,92
1/2/2022,S002,P0001,Groceries,South,0,0,350,86.71,0,10,Cloudy,No,85,Winter,No,137
1/2/2022,S002,P0002,Toys,South,74,61,0,31.7,1933.7,0,Cloudy,No,36.09,Winter,No,82
1/2/2022,S002,P0003,Groceries,South,20,20,0,66.64,1332.8,10,Cloudy,No,61.22,Winter,No,58
1/2/2022,S002,P0004,Groceries,South,49,40,0,36.7,1468,5,Cloudy,No,35.23,Winter,No,59
1/2/2022,S002,P0005,Electronics,South,52,52,412,98.83,5139.16,5,Cloudy,No,94.92,Winter,No,115
1/2/2022,S002,P0006,Clothing,South,119,116,137,66.76,7744.16,10,Cloudy,No,59.62,Winter,No,117
1/2/2022,S002,P0007,Toys,South,144,95,0,30,2850,0,Cloudy,No,28.44,Winter,No,95
1/2/2022,S002,P0008,Groceries,South,99,99,153,29.35,2905.65,0,Cloudy,No,34.68,Winter,No,140
1/2/2022,S002,P0009,Groceries,South,0,0,263,74.78,0,0,Cloudy,No,83.48,Winter,No,158
1/2/2022,S002,P0010,Groceries,South,318,179,0,101.56,18179.24,25,Cloudy,Yes,98.18,Winter,No,234
1/2/2022,S002,P0011,Groceries,South,157,135,474,91.4,12339,15,Cloudy,Yes,109.66,Winter,No,137
1/2/2022,S002,P0012,Electronics,South,119,75,511,65.63,4922.25,15,Cloudy,Yes,56.85,Winter,No,115
1/2/2022,S002,P0013,Groceries,South,59,45,0,20.47,921.15,0,Cloudy,No,22.07,Winter,No,75
1/2/2022,S002,P0014,Electronics,South,84,84,564,134.04,11259.36,10,Cloudy,No,124.77,Winter,No,135
1/2/2022,S002,P0015,Clothing,South,36,36,604,65.22,2347.92,20,Cloudy,Yes,71.11,Winter,No,152
1/2/2022,S002,P0016,Clothing,South,0,0,260,107.38,0,0,Cloudy,No,114.77,Winter,No,159
1/2/2022,S002,P0017,Toys,South,81,63,323,18.69,1177.47,10,Cloudy,No,20.42,Winter,No,92
1/2/2022,S002,P0018,Clothing,South,143,74,87,26.16,1935.84,5,Cloudy,No,31.4,Winter,No,92
1/2/2022,S002,P0019,Clothing,South,82,66,439,93.88,6196.08,0,Cloudy,No,85.41,Winter,No,101
1/2/2022,S002,P0020,Furniture,South,83,77,214,134.4,10348.8,0,Cloudy,No,124.57,Winter,No,70
1/2/2022,S003,P0001,Toys,East,73,73,0,15.76,1150.48,5,Cloudy,No,16.81,Winter,No,91
1/2/2022,S003,P0002,Groceries,East,234,175,548,63.12,11046,10,Cloudy,No,55.32,Winter,No,154
1/2/2022,S003,P0003,Electronics,East,127,125,160,109.88,13735,0,Cloudy,No,107.36,Winter,No,145
1/2/2022,S003,P0004,Groceries,East,81,39,0,19.9,776.1,0,Cloudy,No,22.28,Winter,No,56
1/2/2022,S003,P0005,Toys,East,213,59,0,20.05,1182.95,10,Cloudy,No,17.73,Winter,No,75
1/2/2022,S003,P0006,Toys,East,121,70,96,40.69,2848.3,0,Cloudy,No,39.79,Winter,No,91
1/2/2022,S003,P0007,Groceries,East,124,124,0,16.3,2021.2,10,Cloudy,No,19.56,Winter,No,132
1/2/2022,S003,P0008,Clothing,East,236,121,306,132.2,15996.2,5,Cloudy,No,148.43,Winter,No,156
1/2/2022,S003,P0009,Groceries,East,130,78,86,52.56,4099.68,10,Cloudy,No,51.15,Winter,No,105
1/2/2022,S003,P0010,Groceries,East,224,92,0,32.73,3011.16,20,Cloudy,Yes,32,Winter,No,96
1/2/2022,S003,P0011,Electronics,East,2,2,386,113.61,227.22,25,Cloudy,Yes,126.49,Winter,No,163
1/2/2022,S003,P0012,Furniture,East,68,62,224,90.21,5593.02,15,Cloudy,Yes,106.9,Winter,No,95
1/2/2022,S003,P0013,Groceries,East,0,0,0,69.14,0,0,Cloudy,No,72.85,Winter,No,83
1/2/2022,S003,P0014,Groceries,East,244,52,0,84.21,4378.92,0,Cloudy,No,83.63,Winter,No,50
1/2/2022,S003,P0015,Groceries,East,35,35,622,100.93,3532.55,20,Cloudy,Yes,120.1,Winter,No,185
1/2/2022,S003,P0016,Electronics,East,212,126,289,126.78,15974.28,0,Cloudy,No,110.11,Winter,No,156
1/2/2022,S003,P0017,Furniture,East,151,37,0,107.38,3973.06,5,Cloudy,No,92.46,Winter,No,42
1/2/2022,S003,P0018,Furniture,East,233,65,0,127.98,8318.7,10,Cloudy,No,148.9,Winter,No,90
1/2/2022,S003,P0019,Groceries,East,92,92,95,56.72,5218.24,5,Cloudy,No,55.93,Winter,No,107
1/2/2022,S003,P0020,Clothing,East,209,60,0,73.57,4414.2,5,Cloudy,No,62.9,Winter,No,92
1/2/2022,S004,P0001,Groceries,West,130,130,734,12.67,1647.1,10,Sunny,No,11.95,Winter,No,160
1/2/2022,S004,P0002,Groceries,West,216,121,225,23.71,2868.91,0,Sunny,No,21.48,Winter,No,131
1/2/2022,S004,P0003,Furniture,West,69,69,0,142.86,9857.34,5,Sunny,No,134.09,Winter,No,81
1/2/2022,S004,P0004,Groceries,West,80,20,0,38.88,777.6,5,Sunny,No,44.68,Winter,No,26
1/2/2022,S004,P0005,Clothing,West,92,92,152,83.84,7713.28,10,Sunny,No,88.73,Winter,No,178
1/2/2022,S004,P0006,Groceries,West,158,149,268,40.95,6101.55,5,Sunny,No,34.97,Winter,No,134
1/2/2022,S004,P0007,Groceries,West,142,142,563,36.85,5232.7,0,Sunny,No,35.75,Winter,No,164
1/2/2022,S004,P0008,Furniture,West,222,28,0,84.29,2360.12,5,Sunny,No,90.72,Winter,No,46
1/2/2022,S004,P0009,Clothing,West,100,100,494,120.17,12017,10,Sunny,No,135.44,Winter,No,142
1/2/2022,S004,P0010,Groceries,West,103,103,0,23.81,2452.43,20,Sunny,Yes,26.5,Winter,No,142
1/2/2022,S004,P0011,Clothing,West,135,130,688,64.39,8370.7,25,Sunny,Yes,58.88,Winter,No,205
1/2/2022,S004,P0012,Electronics,West,113,90,71,94.35,8491.5,15,Sunny,Yes,102.02,Winter,No,84
1/2/2022,S004,P0013,Groceries,West,32,32,501,24.95,798.4,0,Sunny,No,23.75,Winter,No,144
1/2/2022,S004,P0014,Furniture,West,58,58,185,175.28,10166.24,0,Sunny,No,193.4,Winter,No,87
1/2/2022,S004,P0015,Furniture,West,207,72,200,74.92,5394.24,20,Sunny,Yes,82.61,Winter,No,65
1/2/2022,S004,P0016,Furniture,West,81,67,0,122.71,8221.57,0,Sunny,No,148.34,Winter,No,86
1/2/2022,S004,P0017,Clothing,West,167,99,149,117.24,11606.76,0,Sunny,No,111.57,Winter,No,138
1/2/2022,S004,P0018,Furniture,West,101,94,104,169.09,15894.46,5,Sunny,No,163.21,Winter,No,87
1/2/2022,S004,P0019,Clothing,West,124,124,162,66.93,8299.32,5,Sunny,No,79.53,Winter,No,148
1/2/2022,S004,P0020,Furniture,West,238,56,0,114.9,6434.4,5,Sunny,No,133.94,Winter,No,53
1/2/2022,S005,P0001,Groceries,North,107,81,0,11.7,947.7,0,Snowy,No,10.06,Winter,No,75
1/2/2022,S005,P0002,Electronics,North,0,0,0,40.81,0,10,Snowy,No,38.43,Winter,No,106
1/2/2022,S005,P0003,Toys,North,102,87,109,29.13,2534.31,10,Snowy,No,28.91,Winter,No,100
1/2/2022,S005,P0004,Groceries,North,166,77,109,7.79,599.83,10,Snowy,No,7.23,Winter,No,119
1/2/2022,S005,P0005,Groceries,North,61,61,0,15.31,933.91,10,Snowy,No,13.22,Winter,No,95
1/2/2022,S005,P0006,Groceries,North,221,122,540,56.83,6933.26,10,Snowy,No,60.46,Winter,No,116
1/2/2022,S005,P0007,Groceries,North,223,3,0,56.72,170.16,0,Snowy,No,64.26,Winter,No,4
1/2/2022,S005,P0008,Groceries,North,64,64,103,58.77,3761.28,10,Snowy,No,55.01,Winter,No,94
1/2/2022,S005,P0009,Groceries,North,211,80,0,103.03,8242.4,0,Snowy,No,88.63,Winter,No,104
1/2/2022,S005,P0010,Groceries,North,0,0,629,72.29,0,10,Snowy,Yes,64.1,Winter,No,182
1/2/2022,S005,P0011,Electronics,North,203,51,260,57.17,2915.67,20,Snowy,Yes,64.73,Winter,No,62
1/2/2022,S005,P0012,Furniture,North,159,117,439,131.02,15329.34,10,Snowy,Yes,157.89,Winter,No,110
1/2/2022,S005,P0013,Groceries,North,63,63,319,75.5,4756.5,5,Snowy,No,89.57,Winter,No,118
1/2/2022,S005,P0014,Furniture,North,130,47,0,160.24,7531.28,5,Snowy,No,152.98,Winter,No,65
1/2/2022,S005,P0015,Groceries,North,24,24,192,45.46,1091.04,15,Snowy,Yes,49.28,Winter,No,118
1/2/2022,S005,P0016,Toys,North,72,72,209,35.13,2529.36,0,Snowy,No,34.06,Winter,No,81
1/2/2022,S005,P0017,Toys,North,143,61,0,31.63,1929.43,5,Snowy,No,35.51,Winter,No,60
1/2/2022,S005,P0018,Clothing,North,177,177,239,28.59,5060.43,10,Snowy,No,27.16,Winter,No,211
1/2/2022,S005,P0019,Furniture,North,160,37,113,119.41,4418.17,10,Snowy,No,139.55,Winter,No,61
1/2/2022,S005,P0020,Toys,North,157,56,0,26.62,1490.72,10,Snowy,No,23.56,Winter,No,68
1/3/2022,S001,P0001,Electronics,North,274,142,229,68.55,9734.1,15,Snowy,Yes,80.73,Winter,No,132
1/3/2022,S001,P0002,Clothing,North,133,92,118,78.32,7205.44,0,Snowy,No,77.58,Winter,No,137
1/3/2022,S001,P0003,Clothing,North,3,3,0,51.3,153.9,10,Snowy,Yes,56,Winter,No,106
1/3/2022,S001,P0004,Electronics,North,114,55,0,91.74,5045.7,5,Snowy,No,105.94,Winter,No,63
1/3/2022,S001,P0005,Groceries,North,0,0,761,58.17,0,25,Snowy,Yes,57.29,Winter,No,172
1/3/2022,S001,P0006,Toys,North,72,72,281,36.37,2618.64,15,Snowy,Yes,36.01,Winter,No,92
1/3/2022,S001,P0007,Groceries,North,0,0,0,23.81,0,5,Snowy,No,25.21,Winter,No,101
1/3/2022,S001,P0008,Electronics,North,165,56,0,42.35,2371.6,0,Snowy,No,38.38,Winter,No,64
1/3/2022,S001,P0009,Clothing,North,140,88,109,98.1,8632.8,0,Snowy,No,86.64,Winter,No,109
1/3/2022,S001,P0010,Furniture,North,17,17,0,138.64,2356.88,0,Snowy,No,124.61,Winter,No,82
1/3/2022,S001,P0011,Furniture,North,154,62,0,152.23,9438.26,10,Snowy,No,175.99,Winter,No,86
1/3/2022,S001,P0012,Groceries,North,215,165,0,88.83,14656.95,20,Snowy,Yes,97.64,Winter,No,201
1/3/2022,S001,P0013,Toys,North,183,47,0,29.75,1398.25,0,Snowy,No,35.18,Winter,No,64
1/3/2022,S001,P0014,Groceries,North,50,50,0,81.49,4074.5,5,Snowy,No,79.61,Winter,No,134
1/3/2022,S001,P0015,Toys,North,130,92,80,16.43,1511.56,0,Snowy,No,14.9,Winter,No,86
1/3/2022,S001,P0016,Groceries,North,0,0,553,45.61,0,15,Snowy,Yes,40.77,Winter,No,193
1/3/2022,S001,P0017,Toys,North,86,59,94,22.74,1341.66,0,Snowy,No,21.56,Winter,No,80
1/3/2022,S001,P0018,Groceries,North,186,134,115,72.12,9664.08,0,Snowy,No,65.71,Winter,No,137
1/3/2022,S001,P0019,Furniture,North,185,48,0,104.22,5002.56,10,Snowy,No,95.66,Winter,No,68
1/3/2022,S001,P0020,Furniture,North,137,85,0,94.75,8053.75,25,Snowy,Yes,86.97,Winter,No,77
1/3/2022,S002,P0001,Groceries,South,0,0,0,84.32,0,20,Cloudy,Yes,92.33,Winter,No,189
1/3/2022,S002,P0002,Toys,South,205,64,166,33.62,2151.68,5,Cloudy,No,30.87,Winter,No,100
1/3/2022,S002,P0003,Groceries,South,0,0,0,69.5,0,10,Cloudy,Yes,79.43,Winter,No,84
1/3/2022,S002,P0004,Groceries,South,9,9,0,37.8,340.2,0,Cloudy,No,37.38,Winter,No,53
1/3/2022,S002,P0005,Electronics,South,0,0,0,103.86,0,10,Cloudy,Yes,91.4,Winter,No,150
1/3/2022,S002,P0006,Clothing,South,140,140,172,67.06,9388.4,25,Cloudy,Yes,64.59,Winter,No,184
1/3/2022,S002,P0007,Toys,South,49,49,300,27.9,1367.1,0,Cloudy,No,33.63,Winter,No,89
1/3/2022,S002,P0008,Groceries,South,153,126,155,30.53,3846.78,0,Cloudy,No,36.87,Winter,No,154
1/3/2022,S002,P0009,Groceries,South,260,134,0,68.23,9142.82,10,Cloudy,No,64.5,Winter,No,145
1/3/2022,S002,P0010,Groceries,South,139,116,107,86.08,9985.28,10,Cloudy,No,81.12,Winter,No,105
1/3/2022,S002,P0011,Groceries,South,22,22,0,109.82,2416.04,0,Cloudy,No,124.57,Winter,No,144
1/3/2022,S002,P0012,Electronics,South,44,44,0,70.05,3082.2,20,Cloudy,Yes,59.81,Winter,No,158
1/3/2022,S002,P0013,Groceries,South,14,14,0,18.11,253.54,10,Cloudy,No,21.08,Winter,No,70
1/3/2022,S002,P0014,Electronics,South,0,0,0,125.35,0,10,Cloudy,No,120.17,Winter,No,113
1/3/2022,S002,P0015,Clothing,South,0,0,0,74.64,0,10,Cloudy,No,83.24,Winter,No,158
1/3/2022,S002,P0016,Clothing,South,323,113,0,69.5,7853.5,25,Cloudy,Yes,74.88,Winter,No,109
1/3/2022,S002,P0017,Toys,South,18,18,0,20.44,367.92,0,Cloudy,No,23.47,Winter,No,87
1/3/2022,S002,P0018,Clothing,South,156,96,121,29.14,2797.44,10,Cloudy,No,24.82,Winter,No,127
1/3/2022,S002,P0019,Clothing,South,16,16,0,96.98,1551.68,5,Cloudy,No,109.82,Winter,No,145
1/3/2022,S002,P0020,Furniture,South,6,6,0,82.98,497.88,25,Cloudy,Yes,73.24,Winter,No,22
1/3/2022,S003,P0001,Toys,East,193,117,316,18.83,2203.11,10,Cloudy,Yes,20.46,Winter,No,168
